i_id_carnet_d;i_jour_collecte;i_id_dep_jour;i_id_pers_session;dt_start_dep_utc;dt_end_dep_utc;i_duree_secs;s_code_dep;s_dep_loisirs;i_enf_menage;i_enf_autre;i_adul_menage;i_adul_autre;b_false_ts_row;b_false_ts_lead
1;1;1;80;2019-07-08 05:24:00+02;2019-07-08 05:57:00+02;1980;vélo;;0;;1;;f;f
2;1;2;80;2019-07-08 10:51:00+02;2019-07-08 10:56:00+02;300;map;;0;;0;;f;f
3;1;3;80;2019-07-08 11:15:00+02;2019-07-08 11:20:00+02;300;map;;0;;3;;f;f
4;1;4;80;2019-07-08 11:45:00+02;2019-07-08 11:57:00+02;720;map;;0;;1;;f;f
5;1;5;80;2019-07-08 14:20:00+02;2019-07-08 14:35:00+02;900;map;;0;;1;;f;f
6;1;6;80;2019-07-08 15:38:00+02;2019-07-08 16:08:00+02;1800;vélo;;0;;0;;f;f
7;1;7;80;2019-07-08 17:02:00+02;2019-07-08 17:10:00+02;480;map;;0;;0;;f;f
8;1;8;80;2019-07-08 17:34:00+02;2019-07-08 17:40:00+02;360;map;;0;;0;;f;
9;2;1;80;2019-07-09 05:45:00+02;2019-07-09 06:25:00+02;2400;"map;tram";;0;;0;;f;f
10;2;2;80;2019-07-09 10:22:00+02;2019-07-09 10:27:00+02;300;map;;0;;0;;f;f
11;2;3;80;2019-07-09 11:15:00+02;2019-07-09 11:20:00+02;300;map;;0;;4;;f;f
12;2;4;80;2019-07-09 16:24:00+02;2019-07-09 16:48:00+02;1440;"map;vpp";;0;;0;1;f;f
13;2;5;80;2019-07-09 17:15:00+02;2019-07-09 17:36:00+02;1260;map;;0;;1;;f;f
14;2;6;80;2019-07-09 20:12:00+02;2019-07-09 20:20:00+02;480;map;;0;;0;;f;
15;3;1;80;2019-07-10 06:10:00+02;2019-07-10 06:11:00+02;60;map;;0;;1;;f;f
16;3;2;80;2019-07-10 06:14:00+02;2019-07-10 06:15:00+02;60;map;;0;;0;;f;f
17;3;3;80;2019-07-10 06:47:00+02;2019-07-10 06:59:00+02;720;vélo;;0;;0;;f;f
18;3;4;80;2019-07-10 08:06:00+02;2019-07-10 08:13:00+02;420;vélo;;0;;0;;f;f
19;3;5;80;2019-07-10 09:21:00+02;2019-07-10 09:22:00+02;60;map;;0;;0;;f;f
20;3;6;80;2019-07-10 09:28:00+02;2019-07-10 09:29:00+02;60;map;;0;;0;;f;f
21;3;7;80;2019-07-10 11:11:00+02;2019-07-10 11:16:00+02;300;vélo;;0;;0;;f;f
22;3;8;80;2019-07-10 11:31:00+02;2019-07-10 11:37:00+02;360;vélo;;0;;0;;f;f
23;3;9;80;2019-07-10 13:44:00+02;2019-07-10 13:55:00+02;660;vélo;;0;;0;;f;f
24;3;10;80;2019-07-10 16:26:00+02;2019-07-10 16:34:00+02;480;vélo;;0;;0;;f;f
25;3;11;80;2019-07-10 17:07:00+02;2019-07-10 17:15:00+02;480;vélo;;;;;;f;f
26;3;12;80;2019-07-10 17:37:00+02;2019-07-10 17:59:00+02;1320;"map;tram";;;;;;f;f
27;3;13;80;2019-07-10 20:13:00+02;2019-07-10 20:35:00+02;1320;"map;tram";;;;;;f;
28;4;1;80;2019-07-11 06:06:00+02;2019-07-11 06:36:00+02;1800;"map;tram";;;;1;;f;f
29;4;2;80;2019-07-11 10:04:00+02;2019-07-11 10:23:00+02;1140;vpp;;;;;2;f;f
30;4;3;80;2019-07-11 11:47:00+02;2019-07-11 11:58:00+02;660;vpc;;;;1;;f;f
31;4;4;80;2019-07-11 16:37:00+02;2019-07-11 17:09:00+02;1920;"map;tram";;;;;;f;f
32;4;5;80;2019-07-11 17:12:00+02;2019-07-11 17:21:00+02;540;map;;;;;;f;f
33;4;6;80;2019-07-11 18:11:00+02;2019-07-11 18:25:00+02;840;map;;;;;;f;f
34;4;7;80;2019-07-11 21:49:00+02;2019-07-10 22:04:00+02;;map;;;;1;;t;
35;5;1;80;2019-07-12 06:06:00+02;2019-07-12 06:36:00+02;1800;vélo;;;;;;f;f
36;5;2;80;2019-07-12 11:00:00+02;2019-07-12 11:05:00+02;300;map;;;;;;f;f
37;5;3;80;2019-07-12 11:49:00+02;2019-07-12 11:55:00+02;360;map;;;;;;f;f
38;5;4;80;2019-07-12 15:06:00+02;2019-07-12 15:55:00+02;2940;vélo;;;;;;f;
